	log2FoldChange_Pinfestans	log2FoldChange_Cfulvum	log2FoldChange_PSTVd_S23	log2FoldChange_PSTVd_M	log2FoldChange_Bcinerea	log2FoldChange_Mincognita_7dpi	log2FoldChange_Mincognita_14dpi
mRNA:Solyc00g160360.1.1	0.0	0.0	0.0	0.084235573464383	0.0	0.0	0.0
mRNA:Solyc00g500164.1.1	1.80597732267568	1.65477406416226	-1.41101497533246	0.602793518259516	-0.380215450079059	1.8030079543628	0.382542195865594
mRNA:Solyc00g500165.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g112190.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160030.1.1	0.0	0.736399783724	0.280702359152278	1.34454673054198	0.0	0.0	0.0
mRNA:Solyc00g500166.1.1	0.0	0.0	1.16605726423374	1.67310022176869	0.0	0.0	0.0
mRNA:Solyc00g500167.1.1	0.0	0.0	-1.10614498356603	-0.634777788844568	0.0	0.0	0.0
mRNA:Solyc00g230080.1.1	0.0	0.0	-0.273560819117661	-0.975778663693402	0.0	0.0	0.0
mRNA:Solyc00g316530.1.1	0.0	0.0	-2.42473920342719	-2.10578841926928	0.0	0.0	0.0
mRNA:Solyc00g069880.2.1	0.0	0.0	0.708380925553464	0.52443937744939	0.0	0.0	0.0
mRNA:Solyc00g500168.1.1	0.0	0.0	2.00193743657374	1.49204803487004	0.0	0.0	0.0
mRNA:Solyc00g013100.1.1	0.0	0.0	-1.27634345067826	-0.97799774181373	0.0	0.0	0.0
mRNA:Solyc00g013110.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g126010.1.1	0.0	0.0	-1.53655220714132	-1.73459620454271	0.0	0.0	0.0
mRNA:Solyc00g126000.1.1	0.0	0.0	-0.213754555920079	0.0842355734643827	0.0	0.0	0.0
mRNA:Solyc00g125990.1.1	0.0	0.0	-0.603297609645449	-0.214369350547789	0.0	0.0	0.0
mRNA:Solyc00g125980.1.1	0.0	0.0	1.12484744162686	0.638000700786637	0.0	0.0	0.0
mRNA:Solyc00g244300.1.1	0.0	0.0	-1.2046943742465	-0.9492352822331	0.0	0.0	0.0
mRNA:Solyc00g244290.1.1	0.0	0.0	0.824330983369519	1.37557128372227	0.0	0.0	0.0
mRNA:Solyc00g244280.1.1	0.0	0.0	-0.386287955486668	-0.647832571782109	0.0	0.0	0.0
mRNA:Solyc00g160370.1.1	0.0	0.0	-0.928696546727458	0.113039293817394	0.0	0.0	0.0
mRNA:Solyc00g500169.1.1	0.0	0.0	1.01474465904605	0.775808203979674	0.0	0.0	2.2137057842937
mRNA:Solyc00g500170.1.1	0.0	0.0	0.52054030885548	0.0009469515648877	0.188367651571188	0.0	-0.139193177419182
mRNA:Solyc00g160380.1.1	0.0	0.0	0.827465923221686	1.28421155886464	0.0	0.0	0.0
mRNA:Solyc00g013170.1.1	0.0	0.0	-1.92378189948754	-0.603387079026177	0.0	0.0	0.0
mRNA:Solyc00g013180.1.1	0.0	0.736399783724001	-0.358700476543929	-0.142342369989785	0.0	0.0	0.0
mRNA:Solyc00g160180.1.1	0.0	0.0	0.656779229160428	0.307392269416609	0.0	0.0	0.0
mRNA:Solyc00g500171.1.1	0.0	0.736399783724001	0.554144487235923	0.251203693526859	0.0	0.0	0.0
mRNA:Solyc00g500172.1.1	0.0	0.0	0.21080375948286	0.269765919438114	0.0	0.0	0.0
mRNA:Solyc00g320430.1.1	0.0	0.0	-1.15205148418826	1.87718550377634	0.0	0.0	0.0
mRNA:Solyc00g500173.1.1	0.0	0.0	0.403212249191594	0.651336328443224	0.0	0.0	0.0
mRNA:Solyc00g019730.2.1	0.0	0.0	-0.572351553041761	0.334157386264766	0.0	0.0	0.0
mRNA:Solyc00g500174.1.1	0.0	0.0	-0.761460676629518	-0.944101077337952	0.0	0.0	-0.139193177419182
mRNA:Solyc00g500176.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500177.1.1	0.0	0.0	-0.213754555920078	0.0	0.0	0.0	0.0
mRNA:Solyc00g500178.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500179.1.1	0.0	0.0	0.0651103100387961	1.00780598439982	0.0	0.561421872783967	0.0
mRNA:Solyc00g500180.1.1	0.0	0.0	-1.32948713901047	0.146791524116797	0.0	0.0	0.0
mRNA:Solyc00g500181.1.1	0.0	0.0	-0.213754555920079	0.0	0.0	0.0	0.0
mRNA:Solyc00g160410.1.1	0.0	3.57371676574771	1.19512034426028	0.523406863604628	0.0	0.0	0.0
mRNA:Solyc00g118690.1.1	0.674496260554777	7.48316425110015	-1.02859133331035	0.477764113604999	-1.58735777373397	-3.93497581082353	2.97770560313998
mRNA:Solyc00g160400.1.1	0.60190402617344	3.08729685730413	0.179537295140824	0.737322038080601	0.188367651571188	0.0	0.0
mRNA:Solyc00g023590.2.1	1.96371027268817	7.06314933763803	0.204506600411494	0.081161179169763	0.770315516003864	0.0	0.0
mRNA:Solyc00g023580.1.1	0.0	4.29558778991861	-0.133719429275293	-0.500533494008342	0.519151779494586	0.0	-0.499861870512259
mRNA:Solyc00g023570.1.1	1.64226945800982	5.61604097639235	0.0702301721198203	-0.0177851965410833	0.549038351276539	0.0	0.0
mRNA:Solyc00g014860.1.1	-0.840772330984866	-0.316015901249714	0.285666358276814	0.595595483003957	0.0	-0.881254588628759	0.0
mRNA:Solyc00g014850.1.1	1.97930914247406	3.91083534199729	0.767316895599761	0.521805869627401	-0.625944195432879	-2.46585280858236	-2.51021844368975
